Sr No,Reviewer Name,Date,Review
130,Nils C.,17-Jun,"Hands-down best burger and fries I've had in Hunterdon -- right downtown in Clinton. (Til now it was 5 Guys in Flemington, but I'm a convert, and I'm picky about my burgers.) Fresh, hand-shaped burgers grilled to order, crusty on the outside, juicy on the inside. Grilling a burger like that is no small feat. And Johnny's fries are awesome -- crispy, thick, and tender. Every fry was perfect. Kudos to the chef. No more driving to Flemington for burgers. Nice to have another great choice for dinner in Clinton! (The service is friendly and quick, and the joint is clean and comfortable.) We'll be back, and we're bringing friends."
131,Dan P.,17-May,Great food greater service. Johnny is an excellent chef and owner. His hospitality cannot be beat and neither can his food. The prices are extremely reasonable. If your looking for a place to take your family and have an excellent dinner Johnny's Place is the place to go.
132,Rick M.,17-May,"My wife, who is 8 months pregnant, came home in tears after her experience at this pitiful restaurant. Apparantly the owner felt it necessary to hover over her and my 2 year old son while she tried to have a nice meal. Add the fact that the food is sub-par, and I am hopefully awaiting the next change in ownership."
133,Fabiana M.,17-May,"Food isn't bad. However, the place is not kid friendly at all. Bring a straight jacket for your toddlers or be prepared to be yelled at by the owner every 2 minutes."
134,Jennifer P.,17-May,"Food was okay. But the lady behind the counter spoke poor English and when I received my food it was cold to the bone. The owner had a not so kind attitude that made the experience a little nerve racking. I also did not feel safe with the local drunk loitering outside trying to play a game of grab ass with me. I was not amused. Overall, the place is clean and the establishment looks better then the food tastes. My hamburger bun couldn't have been anymore moist if they tried. The fries resulted in me having a bad case of the salty squirts which scorched my anus upon exit."
135,Vanessa C.,17-Apr,I tried this place a couple weeks ago. Got the sausage and broccoli rabe sandwich. It was delicious!
136,John K.,17-Apr,"Johnny's place sets the standard in Clinton. This joint out shines every surrounding restaurant in the area. It's a true pleasure to have a real Italian hotdog, a meatball parm you can't tell your mother about, and a burger that melts in your mouth. Johnny's is the real deal! Your not just ordering a burger, your ordering heart and soul."
137,Nikki S.,17-Mar,"Meh. It was just ok. I've had better hot dogs, better chicken fingers, definitely had better fried pickles. Upside? It wasn't terrible."
138,Michael G.,17-Feb,"My wife and I stopped in the other night and had dinner prepared by Johnny. She had the eggplant rollatini , and I had to Seafood fra Diablo . Johnny Is an incredible cook . Looking forward to my next meal from here ."
139,Jim S.,17-Feb,"Someone told me that the other place closed and is now Johnny's. I stopped in and got a meatball sub to go. Sorry no picture, I devoured it. It was pretty good. So I walked in and it was quiet at 6:30 on a Wednesday. Glad to see they have non high fruitcose beverage offerings, saw some Coke from Mexico and Fanta. Nice to see they remodeled the interior and ditched the picnic tables. Still wrapping my head around this burger joint with Italian offerings. I'll be back, nice selection and reasonable prices. A nice addition to the casual dining offerings in Clinton, Good Luck!!"
140,Kelly W.,16-Dec,Husband picked up the eggplant parm sub and meatball sub. The bread is really delicious! Eggplant was thinly sliced and nicely seasoned. Meatballs were tasty. Sandwiches have a good amount of sauce and cheese.
141,Benjamin B.,16-Dec,"Strolled in on a cold night to pick up an Italian hot dog. It was ready after a short wait (under 10 minutes) Hot dog was tasty and topped with peppers, onions and thinly sliced fried potatoes. Served in long loaf of fresh Italian bread (so good!) It was a delicious meal that really hit the spot. Looking forward to trying more of the menu."
